date,weekday,current_state,current_message,attempt_count,response_sizes,raw_html_exists,raw_html_size,historical_table_present,tbody_empty,equity_rows_present,prior_recommendation,previous_successful_local_date,next_successful_local_date,verification_category,confidence,evidence_type,evidence_source_url,evidence_summary,recommended_action
2016-09-12,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-09-09,2016-09-15,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-09-09 and 2016-09-15 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2016-09-13,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-09-09,2016-09-15,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-09-09 and 2016-09-15 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2016-09-14,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-09-09,2016-09-15,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-09-09 and 2016-09-15 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2016-10-11,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-10-10,2016-10-13,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-10-10 and 2016-10-13 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2016-10-12,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-10-10,2016-10-13,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-10-10 and 2016-10-13 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2016-12-12,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2016-12-09,2016-12-13,LIKELY_NON_TRADING,medium,Government/banking holiday evidence,https://www.meezanbank.com/public-holidays-eid-ul-azha-2016/,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2016-12-09 and 2016-12-13 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-03-23,Thursday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-03-22,2017-03-24,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4487845/,PSX notice explicitly says the Exchange was closed for Pakistan Day. Local successful sessions bracket it on 2017-03-22 and 2017-03-24; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2017-05-01,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-04-28,2017-05-02,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-04-28 and 2017-05-02 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-06-23,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-06-22,2017-06-29,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-06-22 and 2017-06-29 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-06-26,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-06-22,2017-06-29,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-06-22 and 2017-06-29 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
