date,weekday,current_saved_state_category,current_saved_message_reason,attempt_count,recorded_response_sizes_bytes,raw_html_exists,raw_html_path,raw_html_byte_size,historical_table_present,tbody_empty,equity_rows_present,csv_file_exists,valid_csv_exists,csv_path,csv_row_count,represented_by_successful_local_file,weekend,possible_holiday_non_trading_candidate,audit_group,recommended_next_action
2016-09-12,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2016-09-12_attempt_04_boaxgst_.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2016-09-13,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2016-09-13_attempt_04_xrsgvex3.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2016-09-14,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2016-09-14_attempt_04_ha8qo113.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2016-10-11,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2016-10-11.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2016-10-12,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2016-10-12.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2016-10-13,Thursday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-13.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-14,Friday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-17,Monday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-17.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-18,Tuesday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-18.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-19,Wednesday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-19.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-20,Thursday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-20.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-21,Friday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-21.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
2016-10-24,Monday,temporarily unavailable,Weekday response contained no equity rows; eligible for retry,0,Not Available,Yes,data/raw/html/market_2016-10-24.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,H — pattern-only non-trading/holiday candidate,likely non-trading/holiday candidate
