symbol,company_name,trainability,trainability_category,trainability_reason,artifact_contract_version,feature_version,environment_version,source_data_hash,requested_timesteps,seed,requested_device,status,model_path,checkpoint_path,validation_path,test_partition_loaded
786,786 Investments Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,a5b6f0ec7f6897cb63e911974b81ac15c90768050576751032f276237f502538,100000,42,cuda,QUEUED,models/786/attempt_000/model.zip,checkpoints/786/attempt_000,validation/786/attempt_000.json,False
AABS,Al-Abbas Sugar Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,b8b4b80f78379790297db1ffb80a7681a1f0a7f685666b1228346d0b251f1de7,100000,42,cuda,QUEUED,models/AABS/attempt_000/model.zip,checkpoints/AABS/attempt_000,validation/AABS/attempt_000.json,False
AAL,Agro Allianz Limited,ineligible,unsupported,unsupported:not_active_recently_traded,,,,,100000,42,cuda,INELIGIBLE,models/AAL/attempt_000/model.zip,checkpoints/AAL/attempt_000,validation/AAL/attempt_000.json,False
AASM,Al-Abid Silk Mills Limited,ineligible,unsupported,unsupported:not_active_recently_traded,,,,,100000,42,cuda,INELIGIBLE,models/AASM/attempt_000/model.zip,checkpoints/AASM/attempt_000,validation/AASM/attempt_000.json,False
AATM,Ali Asghar Textile Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,6266e110344314296466d1185e24d959c9b57e554326805e77a00a6464f03209,100000,42,cuda,QUEUED,models/AATM/attempt_000/model.zip,checkpoints/AATM/attempt_000,validation/AATM/attempt_000.json,False
ABL,Allied Bank Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1a6b56d5d7898f891227285b933c1eaa4c2f24e2287f1503192f73489eb32e37,100000,42,cuda,QUEUED,models/ABL/attempt_000/model.zip,checkpoints/ABL/attempt_000,validation/ABL/attempt_000.json,False
ABOT,Abbott Laboratories (Pakistan) Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1943b706ba63ae059a9aeb337a15f676a1f27e75595bdd0cdfa5eb6e1a6d3cb8,100000,42,cuda,QUEUED,models/ABOT/attempt_000/model.zip,checkpoints/ABOT/attempt_000,validation/ABOT/attempt_000.json,False
ABSON,Abson Industries Limited,ineligible,unsupported,unsupported:not_active_recently_traded,,,,,100000,42,cuda,INELIGIBLE,models/ABSON/attempt_000/model.zip,checkpoints/ABSON/attempt_000,validation/ABSON/attempt_000.json,False
ACPL,Attock Cement Pakistan Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,addbd26f6d2978ab2d78cb604c8dadf4608cb32a5cb4ba9487dd4bdcc7053ffa,100000,42,cuda,QUEUED,models/ACPL/attempt_000/model.zip,checkpoints/ACPL/attempt_000,validation/ACPL/attempt_000.json,False
ADAMS,Adam Sugar Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,bad9e97c06b9c02a6e60f74c3608fa0710ac30b5259146821bf0d1dab07e0ed8,100000,42,cuda,QUEUED,models/ADAMS/attempt_000/model.zip,checkpoints/ADAMS/attempt_000,validation/ADAMS/attempt_000.json,False
ADMM,Artistic Denim Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,d97952d91baaacb180ee922b7df95e19b9c05f0ed90e6f08c7b321e8b389628d,100000,42,cuda,QUEUED,models/ADMM/attempt_000/model.zip,checkpoints/ADMM/attempt_000,validation/ADMM/attempt_000.json,False
AGHA,Agha Steel Ind.Ltd,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,359de3677945350ecdd1058ca471679edfaa66dba9271f4c424e6937819d442e,100000,42,cuda,QUEUED,models/AGHA/attempt_000/model.zip,checkpoints/AGHA/attempt_000,validation/AGHA/attempt_000.json,False
AGIC,Askari General Insurance Company Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,e16019728289b0d7e743686eab8347d5cece9423581879ebedbc89f5e77c0ad9,100000,42,cuda,QUEUED,models/AGIC/attempt_000/model.zip,checkpoints/AGIC/attempt_000,validation/AGIC/attempt_000.json,False
AGIL,Agriauto Industries Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,c5373b57f912b4affa14f5afacf387fc9e855eb56ccb3c56fb250bfd9e38cb5d,100000,42,cuda,QUEUED,models/AGIL/attempt_000/model.zip,checkpoints/AGIL/attempt_000,validation/AGIL/attempt_000.json,False
AGL,Agritech Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,b112d1b09daa18ae1006a9cb4d06055be2ab8d72531c8e9a93d2d54672480a60,100000,42,cuda,QUEUED,models/AGL/attempt_000/model.zip,checkpoints/AGL/attempt_000,validation/AGL/attempt_000.json,False
AGP,AGP Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,dfd4226539eb1a459789c7c2cccf0c589b61c92bd2288edd3aeadeffa33deecb,100000,42,cuda,QUEUED,models/AGP/attempt_000/model.zip,checkpoints/AGP/attempt_000,validation/AGP/attempt_000.json,False
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,15f77bff69fab14471819ecbfc43d1726b569830935ac7ac59c3963644f1d94e,100000,42,cuda,QUEUED,models/AGSML/attempt_000/model.zip,checkpoints/AGSML/attempt_000,validation/AGSML/attempt_000.json,False
AGTL,Al-Ghazi Tractors Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,23b73ad868114fab1439e8b8a576bf4697fe2b05722589f041238259f8be4298,100000,42,cuda,QUEUED,models/AGTL/attempt_000/model.zip,checkpoints/AGTL/attempt_000,validation/AGTL/attempt_000.json,False
AHCL,Arif Habib Corporation Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,bfef2e977d3d73eae98331f577a8fdb11303a6133c82300c68f2d999e097e149,100000,42,cuda,QUEUED,models/AHCL/attempt_000/model.zip,checkpoints/AHCL/attempt_000,validation/AHCL/attempt_000.json,False
AHL,Arif Habib Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,4e1cc2c9020c504604560c84ae83a60fc3685ba4820cb06bc993384d18ff0c8a,100000,42,cuda,QUEUED,models/AHL/attempt_000/model.zip,checkpoints/AHL/attempt_000,validation/AHL/attempt_000.json,False
AHTM,Ahmad Hassan Textile Mills Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,7b1877be0e28af4e5e1fdfa1760b1f96244cb85ba3aad8d3bc14fbb267e564c5,100000,42,cuda,QUEUED,models/AHTM/attempt_000/model.zip,checkpoints/AHTM/attempt_000,validation/AHTM/attempt_000.json,False
AICL,Adamjee Insurance Company Limited,eligible,eligible_trainable,canonical_mature_recurrent_contract,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,334e058afa0397df0f70a73099093508f2932f0f8e0b914c12f504a0373969c1,100000,42,cuda,QUEUED,models/AICL/attempt_000/model.zip,checkpoints/AICL/attempt_000,validation/AICL/attempt_000.json,False
