study_fingerprint,symbol,seed,requested_timesteps,run_id,requested_device,status,test_partition_loaded
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,42,50000,budget-bdf8f4078bb20ccc0631,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,42,100000,budget-e4ec7f15eabb8f805111,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,42,250000,budget-63fd7b160d64bd7ea1ba,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,123,50000,budget-784b6fb742503d0a7bb9,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,123,100000,budget-a89eca6e17bb2a04ec3d,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,123,250000,budget-528dc880c9629dcca9b7,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,2026,50000,budget-89efa61c1901ccd27166,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,2026,100000,budget-cb3f66688f705d267d74,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,MARI,2026,250000,budget-b0014620d4bba8333192,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,42,50000,budget-94945a4d19694d0f2546,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,42,100000,budget-4d664d0a4059dbd00336,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,42,250000,budget-e085915f99d8af1af0fe,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,123,50000,budget-5d3f55df5265ba8a0f0c,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,123,100000,budget-d0da7a88d6cd2c7a3435,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,123,250000,budget-85bb0fe2205cdacfe325,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,2026,50000,budget-0b30310844100c82d072,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,2026,100000,budget-8f20b1826b1ff5dcf798,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AGP,2026,250000,budget-1a145f767fe18951e5e5,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,42,50000,budget-cdc2dddb0713b15ba1af,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,42,100000,budget-7e3535bea261aa5685ab,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,42,250000,budget-3c26876a0860348c019b,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,123,50000,budget-63d0e4f31cc097e83c76,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,123,100000,budget-23a9ad39c1afdee578fb,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,123,250000,budget-57b37118903a631696e6,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,2026,50000,budget-72b159aedf62ed644886,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,2026,100000,budget-5e962190c6cfcb80aa78,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,LSEFSL,2026,250000,budget-1be84c4496f1b4005add,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,42,50000,budget-f919f8081fef26a38886,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,42,100000,budget-5776391e90ae87adc361,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,42,250000,budget-9377137989620f8aba03,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,123,50000,budget-19664f2d65f4ba2b8afc,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,123,100000,budget-7eb5adda6e1dfad03fb7,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,123,250000,budget-5327bdd739fcf8117e1c,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,2026,50000,budget-740d90ad6521009a0480,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,2026,100000,budget-5d9abdc2c5aebfb22db1,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,WAVES,2026,250000,budget-af319179199de7b8059d,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,42,50000,budget-4092c2bc385c9825b486,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,42,100000,budget-515c261bd1848808c426,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,42,250000,budget-36431132fa9dd61d000c,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,123,50000,budget-e948237840ece0f57add,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,123,100000,budget-cc7eb539b5048ee51fd6,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,123,250000,budget-a3a10a05ab871d6267f0,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,2026,50000,budget-5de4aeeafda51812bcd6,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,2026,100000,budget-c31d52f278b5e80da8c8,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,GLAXO,2026,250000,budget-91a96037e9c5cc768a6e,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,42,50000,budget-4e8a34b38604a6f98dd1,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,42,100000,budget-d485c290b28b0076c212,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,42,250000,budget-5a632e4d5f03b0bef110,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,123,50000,budget-264f3959b80ebfff524d,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,123,100000,budget-52cca3ca73def6c2d18c,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,123,250000,budget-4621c981a78dcacca3ca,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,2026,50000,budget-4a2f1ae39b584ade9614,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,2026,100000,budget-1281235d35b659b70f1c,cpu,PENDING,False
1f2f95d2b816e0887fc1acee788a002bd4d2689dfdf7e5b273d0a01ea13ad53f,AKDHL,2026,250000,budget-7a89b0c8d83170c6c8b8,cpu,PENDING,False
