symbol,train_rows,train_start,train_end,median_volume,average_volume,zero_volume_ratio,zero_ohl_ratio,non_positive_close_rows,validation_available,recurrent_contract_version,feature_version,environment_version,active_span_coverage
786,1152,2018-11-15,2024-08-07,28000.0,145603.07986111112,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8141342756183746
AABS,1317,2017-01-16,2024-04-22,700.0,4833.777524677297,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7320733740967204
AATM,343,2024-08-15,2025-12-29,4317.0,16807.874635568514,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9942028985507246
ABL,1660,2016-10-06,2023-09-05,34450.0,134318.61445783134,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9690601284296556
ABOT,1656,2016-10-14,2023-09-19,6050.0,24827.475845410627,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9633507853403142
ACPL,1690,2016-10-06,2023-08-31,27850.0,71806.72485207101,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9883040935672515
ADAMS,1404,2016-10-06,2024-01-29,6000.0,25394.23076923077,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7739801543550165
ADMM,1305,2016-10-17,2024-05-02,7000.0,21941.379310344826,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6978609625668449
AGHA,963,2021-01-11,2024-12-04,596000.0,1380249.570093458,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
AGIC,1422,2016-10-06,2024-01-11,6000.0,18026.371308016878,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7891231964483907
AGIL,1472,2016-10-06,2023-11-28,4000.0,17641.508152173912,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8311688311688312
AGL,1703,2016-10-06,2023-08-24,516500.0,1441463.0064591896,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9988269794721407
AGP,1421,2018-05-15,2024-02-15,86106.0,272549.85080928926,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9978932584269663
AGSML,1337,2016-10-14,2024-04-01,35000.0,169612.93941660435,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7215326497571506
AGTL,1682,2016-10-06,2023-08-30,3600.0,14174.435196195005,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9842012873025161
AHCL,1586,2016-10-06,2023-10-30,17000.0,102799.49558638083,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9057681324957167
AHL,1690,2016-10-06,2023-08-31,36500.0,95225.14792899408,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9883040935672515
AHTM,254,2020-08-07,2026-02-13,277.5,1163.9881889763778,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.1854014598540146
AICL,1682,2016-10-06,2023-09-04,134000.0,364798.4542211653,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9824766355140186
AIRLINK,810,2021-12-01,2025-03-10,1414780.0,3584335.598765432,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.998766954377312
AKBL,1703,2016-10-06,2023-08-23,259500.0,757382.5601879037,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9994131455399061
AKDHL,709,2021-10-07,2025-04-21,800.0,2595.366713681241,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8102857142857143
AKDSL,1076,2017-03-15,2024-09-27,2500.0,117522.94330855018,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5778732545649838
AKGL,528,2016-12-30,2025-05-26,1000.0,4301.795454545455,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.25396825396825395
ALAC,1006,2018-11-29,2024-10-17,6500.0,28638.129224652086,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6914089347079038
ALIFE,626,2022-05-20,2025-06-26,10000.0,51455.7124600639,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8183006535947712
ALNRS,947,2016-10-07,2024-11-28,2000.0,8919.432946145724,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4697420634920635
ALTN,1333,2016-10-14,2024-04-15,7500.0,76081.02025506376,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7170521785906401
AMBL,739,2017-01-31,2025-02-24,1500.0,9877.4100135318,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3700550826239359
AMTEX,967,2016-10-06,2024-12-03,201500.0,864508.8014477766,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4787128712871287
ANL,1704,2016-10-06,2023-08-23,1715000.0,4407511.639084507,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
ANSM,668,2016-10-19,2019-11-20,13500.0,40432.63473053892,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8720626631853786
ANTM,428,2021-02-03,2025-10-24,1822.5,9810.31308411215,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3667523564695801
APL,1701,2016-10-06,2023-08-24,22700.0,49571.495002939446,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9976539589442815
ARCTM,763,2019-11-20,2025-04-04,3956.0,18100.558322411533,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5736842105263158
ARPAK,377,2018-12-19,2025-10-16,500.0,1811.737400530504,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.2230769230769231
ARPL,1631,2016-10-06,2023-09-26,2600.0,8479.858982219497,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9438657407407407
ARUJ,754,2016-10-14,2025-04-17,3979.0,23883.62466843501,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3578547698149027
ASC,1704,2016-10-06,2023-08-23,438000.0,1313970.661971831,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
ASHT,683,2017-01-13,2025-05-16,1500.0,5496.607613469985,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.33107125545322347
ASL,1704,2016-10-06,2023-08-23,1876072.0,4192189.062206573,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
ASTL,1704,2016-10-06,2023-08-23,522250.0,1079339.2177230048,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
