"symbol","company_name","security_type","sector","officially_listed","lifecycle_status","first_raw_date","last_raw_date","raw_row_count","processed_master_row_count","usable_row_count","training_rows","validation_rows","test_rows","processed_dataset_exists","processed_dataset_row_count","split_exists","scaler_exists","current_readiness_status","exact_exclusion_reason","ready_for_training"
"786","786 Investments Limited","ordinary_equity","INV. BANKS / INV. COS. / SECURITIES COS.",True,"listed_recently_traded","2018-09-03","2026-08-05",1703,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"786-ODL","","unknown","",False,"historical_only","2019-01-10","2020-04-09",78,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"786R","786 Investment (Right)","right","INV. BANKS / INV. COS. / SECURITIES COS.",True,"listed_not_recently_traded","2025-12-22","2026-01-02",9,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Currently listed but not recently traded",False
"AABS","Al-Abbas Sugar Mills Limited","ordinary_equity","SUGAR & ALLIED INDUSTRIES",True,"listed_recently_traded","2016-07-26","2026-08-05",2040,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"AABS-ODL","","unknown","",False,"historical_only","2019-01-10","2020-04-09",113,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"AAL","Agro Allianz Limited","ordinary_equity","TEXTILE SPINNING",True,"non_compliant","2021-10-25","2024-09-26",21,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Currently listed but not recently traded",False
"AASM","Al-Abid Silk Mills Limited","ordinary_equity","SYNTHETIC & RAYON",True,"non_compliant","2016-07-26","2024-09-26",306,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Currently listed but not recently traded",False
"AATM","Ali Asghar Textile Mills Limited","ordinary_equity","TEXTILE SPINNING",True,"listed_recently_traded","2016-07-26","2026-08-05",671,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"ABL","Allied Bank Limited","ordinary_equity","COMMERCIAL BANKS",True,"listed_recently_traded","2016-07-26","2026-08-05",2427,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"ABL-APR","","other","",False,"historical_only","2022-01-31","2022-03-02",23,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-APRB","","other","",False,"historical_only","2022-02-28","2022-04-25",40,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-AUG","","other","",False,"historical_only","2019-07-22","2022-08-26",86,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-CNOV","","unknown","",False,"historical_only","2021-08-30","2021-08-30",1,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-FEB","","other","",False,"historical_only","2022-02-01","2022-02-25",19,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-JUL","","other","",False,"historical_only","2019-06-24","2022-07-29",83,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-JUN","","other","",False,"historical_only","2022-03-28","2022-04-25",21,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-JUNB","","other","",False,"historical_only","2022-04-21","2022-06-24",42,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-MAR","","other","",False,"historical_only","2022-02-01","2022-03-02",22,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-MARB","","other","",False,"historical_only","2022-02-28","2022-03-25",19,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-MAY","","other","",False,"historical_only","2022-02-28","2022-04-25",40,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-MAYB","","other","",False,"historical_only","2022-04-21","2022-05-27",22,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-NOV","","other","",False,"historical_only","2021-08-30","2021-08-30",1,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-OCT","","other","",False,"historical_only","2022-08-01","2022-08-26",18,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-OCTB","","other","",False,"historical_only","2022-08-22","2022-10-28",50,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-ODL","","unknown","",False,"historical_only","2019-01-10","2020-04-10",254,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-SEP","","other","",False,"historical_only","2019-08-26","2022-08-26",63,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABL-SEPB","","other","",False,"historical_only","2022-08-22","2022-09-30",30,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABOT","Abbott Laboratories (Pakistan) Limited","ordinary_equity","PHARMACEUTICALS",True,"listed_recently_traded","2016-07-26","2026-08-05",2423,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"ABOT-ODL","","unknown","",False,"historical_only","2019-01-10","2020-04-10",240,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ABSON","Abson Industries Limited","ordinary_equity","PAPER, BOARD & PACKAGING",True,"non_compliant","2021-10-25","2024-09-26",21,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Currently listed but not recently traded",False
"ACIETF","Alfalah Consumer Index (ETF)","etf","EXCHANGE TRADED FUNDS",True,"listed_recently_traded","2022-01-17","2026-08-05",754,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"ACIETF-APR","","other","",False,"historical_only","2024-01-29","2024-04-26",49,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-AUG","","other","",False,"historical_only","2024-06-03","2024-06-25",13,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-AUGB","","other","",False,"historical_only","2024-06-24","2024-08-30",43,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-FEB","","other","",False,"historical_only","2024-01-29","2024-02-23",14,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-JUL","","other","",False,"historical_only","2024-04-29","2024-06-25",36,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-JULB","","other","",False,"historical_only","2024-06-24","2024-07-26",22,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-JUN","","other","",False,"historical_only","2024-04-01","2024-06-25",49,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-MAR","","other","",False,"historical_only","2024-01-29","2024-03-29",36,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-MAY","","other","",False,"historical_only","2024-02-26","2024-05-31",58,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACIETF-SEP","","other","",False,"historical_only","2024-07-01","2024-09-26",58,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ACPL","Attock Cement Pakistan Limited","ordinary_equity","CEMENT",True,"listed_recently_traded","2016-07-26","2026-08-05",2467,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
"ACPL-ODL","","unknown","",False,"historical_only","2019-01-10","2020-04-10",293,0,0,0,0,0,False,0,False,False,"Not In Active Readiness Scope","Historical-only / not currently listed",False
"ADAMS","Adam Sugar Mills Limited","ordinary_equity","SUGAR & ALLIED INDUSTRIES",True,"listed_recently_traded","2016-07-26","2026-08-05",2090,0,0,0,0,0,False,0,False,False,"Data Quality Issue","price is not positive",False
