"symbol","company_name","total_raw_rows","affected_row_count","affected_history_percent","first_affected_date","last_affected_date","open_zero_or_negative_count","high_zero_or_negative_count","low_zero_or_negative_count","close_zero_or_negative_count","negative_price_row_count","valid_close_only_ohl_zero_row_count","all_ohlc_zero_row_count","affected_volume_zero_count","affected_volume_near_zero_le_100_count","affected_volume_positive_count","affected_volume_min","affected_volume_median","affected_volume_max","no_trade_style_row_count","partial_zero_ohlc_row_count","affected_rows_adjacent_to_normal_count","surrounding_normal_observation","primary_pattern"
"GGL","Ghani Global Holdings Limited",2484,1,"0.040258","2019-07-25","2019-07-25",1,0,0,0,0,1,0,0,0,1,2000,"2000.000000",2000,0,1,1,True,"ISOLATED_BAD_ROWS"
"KOHC","Kohat Cement Company Limited",2484,1,"0.040258","2022-07-06","2022-07-06",1,0,0,0,0,1,0,0,0,1,76600,"76600.000000",76600,0,1,1,True,"ISOLATED_BAD_ROWS"
"AGL","Agritech Limited",2483,1,"0.040274","2017-03-27","2017-03-27",1,0,0,0,0,1,0,0,0,1,84000,"84000.000000",84000,0,1,1,True,"ISOLATED_BAD_ROWS"
"JSCL","Jahangir Siddiqui & Co. Ltd.",2483,1,"0.040274","2023-04-11","2023-04-11",1,0,0,0,0,1,0,0,0,1,3000,"3000.000000",3000,0,1,1,True,"ISOLATED_BAD_ROWS"
"APL","Attock Petroleum Limited",2481,1,"0.040306","2018-02-22","2018-02-22",1,0,0,0,0,1,0,0,1,1,100,"100.000000",100,0,1,1,True,"ISOLATED_BAD_ROWS"
"STCL","Shabbir Tiles & Ceramics Limited",2481,1,"0.040306","2024-03-13","2024-03-13",1,1,1,0,0,1,0,0,0,1,500,"500.000000",500,0,1,1,True,"ISOLATED_BAD_ROWS"
"GHGL","Ghani Glass Limited",2479,1,"0.040339","2020-05-08","2020-05-08",1,0,0,0,0,1,0,0,0,1,1000,"1000.000000",1000,0,1,1,True,"ISOLATED_BAD_ROWS"
"QUICE","Quice Food Industries Limited",2477,1,"0.040371","2023-02-22","2023-02-22",1,0,0,0,0,1,0,0,0,1,1500,"1500.000000",1500,0,1,1,True,"ISOLATED_BAD_ROWS"
"DSIL","D.S. Industries Limited",2475,1,"0.040404","2023-04-18","2023-04-18",1,0,0,0,0,1,0,0,0,1,500,"500.000000",500,0,1,1,True,"ISOLATED_BAD_ROWS"
"CSAP","Crescent Steel & Allied Products Limited",2473,1,"0.040437","2023-02-20","2023-02-20",1,0,0,0,0,1,0,0,0,1,10000,"10000.000000",10000,0,1,1,True,"ISOLATED_BAD_ROWS"
"NRSL","Nimir Resins Limited",2473,1,"0.040437","2023-09-18","2023-09-18",1,1,1,0,0,1,0,0,0,1,500,"500.000000",500,0,1,1,True,"ISOLATED_BAD_ROWS"
"HINOON","Highnoon Laboratories Limited",2472,1,"0.040453","2019-06-25","2019-06-25",1,0,0,0,0,1,0,0,1,1,100,"100.000000",100,0,1,1,True,"ISOLATED_BAD_ROWS"
"CLOV","Clover Pakistan Limited",2470,1,"0.040486","2019-07-01","2019-07-01",1,0,0,0,0,1,0,0,0,1,1000,"1000.000000",1000,0,1,1,True,"ISOLATED_BAD_ROWS"
"THCCL","Thatta Cement Company Limited",2469,1,"0.040502","2019-09-02","2019-09-02",1,0,0,0,0,1,0,0,0,1,1500,"1500.000000",1500,0,1,1,True,"ISOLATED_BAD_ROWS"
"AGTL","Al-Ghazi Tractors Limited",2453,1,"0.040766","2020-11-17","2020-11-17",1,0,0,0,0,1,0,0,0,1,300,"300.000000",300,0,1,1,True,"ISOLATED_BAD_ROWS"
"IBLHL","IBL HealthCare Limited",2450,1,"0.040816","2019-06-25","2019-06-25",1,0,0,0,0,1,0,0,0,1,10500,"10500.000000",10500,0,1,1,True,"ISOLATED_BAD_ROWS"
"FLYNG","Flying Cement Company Limited",2427,1,"0.041203","2019-03-11","2019-03-11",1,0,0,0,0,1,0,0,0,1,500,"500.000000",500,0,1,1,True,"ISOLATED_BAD_ROWS"
"RPL","Roshan Packages Limited",2335,1,"0.042827","2022-11-02","2022-11-02",1,0,0,0,0,1,0,0,0,1,4500,"4500.000000",4500,0,1,1,True,"ISOLATED_BAD_ROWS"
"PREMA","At-Tahur Limited",1981,1,"0.050480","2019-07-10","2019-07-10",1,0,0,0,0,1,0,0,0,1,1000,"1000.000000",1000,0,1,1,True,"ISOLATED_BAD_ROWS"
"GGGL","Ghani Global Glass Limited",2477,2,"0.080743","2018-12-19","2019-09-12",2,0,0,0,0,2,0,0,0,2,1000,"2000.000000",3000,0,2,2,True,"ISOLATED_BAD_ROWS"
"DFSM","Dewan Farooque Spinning Mills Limited",2474,2,"0.080841","2016-07-29","2022-03-11",2,1,1,0,0,2,0,1,0,1,0,"4750.000000",9500,1,2,2,True,"ISOLATED_BAD_ROWS"
"FCSC","First Capital Securities Corporation",2470,2,"0.080972","2019-03-26","2019-07-08",2,0,0,0,0,2,0,0,0,2,500,"500.000000",500,0,2,2,True,"ISOLATED_BAD_ROWS"
"PKGS","Packages Limited",2466,2,"0.081103","2019-10-21","2021-08-20",2,0,0,0,0,2,0,0,1,2,50,"125.000000",200,0,2,2,True,"ISOLATED_BAD_ROWS"
"AICL","Adamjee Insurance Company Limited",2454,2,"0.081500","2018-01-26","2019-07-02",2,0,0,0,0,2,0,0,0,2,1000,"500500.000000",1000000,0,2,2,True,"ISOLATED_BAD_ROWS"
"LPL","Lalpir Power Limited",2452,2,"0.081566","2019-06-13","2019-09-06",2,0,0,0,0,2,0,0,0,2,500,"500.000000",500,0,2,2,True,"ISOLATED_BAD_ROWS"
"SPWL","Saif Power Limited",2452,2,"0.081566","2018-12-24","2019-07-12",2,0,0,0,0,2,0,0,0,2,500,"2750.000000",5000,0,2,2,True,"ISOLATED_BAD_ROWS"
"SAZEW","Sazgar Engineering Works Limited",2443,2,"0.081867","2019-05-20","2019-06-10",2,0,0,0,0,2,0,2,0,0,0,"0.000000",0,2,2,2,True,"ISOLATED_BAD_ROWS"
"THALL","Thal Limited",2443,2,"0.081867","2016-09-23","2023-03-29",2,1,1,0,0,2,0,1,0,1,0,"100.000000",200,1,2,2,True,"ISOLATED_BAD_ROWS"
"OLPL","OLP Financial Services Pakistan Limited",2440,2,"0.081967","2019-03-29","2021-04-08",2,0,0,0,0,2,0,0,0,2,25000,"32500.000000",40000,0,2,2,True,"ISOLATED_BAD_ROWS"
"SRVI","Service Industries Limited",2411,2,"0.082953","2019-03-05","2019-03-06",2,0,0,0,0,2,0,0,2,2,100,"100.000000",100,0,2,2,True,"ISOLATED_BAD_ROWS"
"MFL","Matco Foods Limited",2074,2,"0.096432","2022-03-28","2022-12-23",2,0,0,0,0,2,0,0,0,2,500,"7250.000000",14000,0,2,2,True,"ISOLATED_BAD_ROWS"
"HALEON","Haleon Pakistan Limited",862,1,"0.116009","2023-08-21","2023-08-21",1,1,1,0,0,1,0,0,0,1,500,"500.000000",500,0,1,1,True,"ISOLATED_BAD_ROWS"
"CEPB","Century Paper & Board Mills Limited",2472,3,"0.121359","2018-01-03","2019-02-15",3,0,0,0,0,3,0,0,0,3,500,"1000.000000",3000,0,3,3,True,"ISOLATED_BAD_ROWS"
"PNSC","Pakistan National Shipping Corporation",2470,3,"0.121457","2019-02-22","2019-08-29",3,0,0,0,0,3,0,0,0,3,500,"500.000000",2500,0,3,3,True,"ISOLATED_BAD_ROWS"
"ACPL","Attock Cement Pakistan Limited",2467,3,"0.121605","2016-12-16","2023-04-03",3,1,1,0,0,3,0,1,1,2,0,"100.000000",13000,1,3,3,True,"ISOLATED_BAD_ROWS"
"AHL","Arif Habib Limited",2467,3,"0.121605","2019-02-08","2019-06-18",3,0,0,0,0,3,0,0,0,3,2000,"2500.000000",10000,0,3,3,True,"ISOLATED_BAD_ROWS"
"HMB","Habib Metropolitan Bank Limited",2446,3,"0.122649","2016-08-05","2019-08-01",3,2,2,0,0,3,0,2,0,1,0,"0.000000",237000,2,3,3,True,"ISOLATED_BAD_ROWS"
"AMTEX","Amtex Limited",1433,2,"0.139567","2021-10-25","2021-10-29",2,2,2,0,0,2,0,2,0,0,0,"0.000000",0,2,2,2,True,"ISOLATED_BAD_ROWS"
"CPPL","Cherat Packaging Limited",2457,4,"0.162800","2016-09-28","2024-11-01",4,2,2,0,0,4,0,1,3,3,0,"67.500000",100,1,4,4,True,"ISOLATED_BAD_ROWS"
"LCI","Lucky Core Industries Limited",2451,4,"0.163199","2017-11-03","2022-11-07",4,0,0,0,0,4,0,0,0,4,300,"825.000000",5500,0,4,4,True,"ISOLATED_BAD_ROWS"
"BECO","Beco Steel Limited",1214,2,"0.164745","2022-04-26","2024-04-18",2,1,1,0,0,2,0,0,0,2,500,"500.000000",500,0,2,2,True,"ISOLATED_BAD_ROWS"
